0	00:00:02.00	00:00:03.00	13	R	n	大家好？ 
1	00:00:03.00	00:00:07.50	13	R	n	在過去的5年中，Uniquely Singapore一直擔任我們。
2	00:00:08.50	00:00:10.00	13	R	n	我們向世界展示了新加坡如何可以是唯一的，，
3	00:00:10.50	00:00:13.00	21	R	n	温暖，從事
4	00:00:13.50	00:00:15.00	21	R	n	並有望難忘。
5	00:00:15.00	00:00:16.50	13	R	n	而現在的世界正在發生變化
6	00:00:17.00	00:00:18.50	13	R	n	所以我們必須。
7	00:00:21.00	00:00:24.00	13	L	n	我們生活在一個日益數字化的世界。
8	00:00:28.50	00:00:30.00	13	L	n	我們已經進入到我們想要的信息，
9	00:00:30.50	00:00:32.50	13	L	n	毎當我們需要它。。
10	00:00:35.50	00:00:38.00	23	L	n	研究告訴我們，新加坡作為目的地，
11	00:00:38.50	00:00:41.00	23	L	n	非常適合這個新的動態。
12	00:00:45.00	00:00:47.00	22	R	n	遊客告訴我們，新加坡
13	00:00:47.50	00:00:50.50	22	R	n	不僅是一個驚人的濃縮多樣的經驗
14	00:00:51.00	00:00:53.00	22	R	n	這也是用戸友好
15	00:00:56.00	00:00:58.00	21	R	n	它的地方，遊客可以在那裡做什麼，他們想要的，
16	00:00:59.00	00:01:01.00	21	R	n	毎當他們想要的。
17	00:01:01.50	00:01:03.00	21	R	n	絶對的方便和快捷。
18	00:01:03.00	00:01:05.00	21	R	n	這是地方，在那裡他們可以
19	00:01:06.00	00:01:08.00	21	R	n	在本質上，做出自己的。
20	00:01:09.00	00:01:11.00	21	L	n	所以我們告訴世界，
21	00:01:11.50	00:01:13.50	21	L	n	問一個簡單的問題
22	00:01:14.00	00:01:16.00	33	L	n	什麼是新加坡？
